Coordinates:
0.0,0.526315789474,1.05263157895,1.57894736842,2.10526315789,2.63157894737,3.15789473684,3.68421052632,4.21052631579,4.73684210526,5.26315789474,5.78947368421,6.31578947368,6.84210526316,7.36842105263,7.89473684211,8.42105263158,8.94736842105,9.47368421053,10.0,
Volumes:
0.263157894737,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.526315789474,0.263157894737,

 Time(s), delta (-) on vertices
25059.2591031,1.803104,
25185.1850282,1.803136,
25311.1109534,1.803168,
25437.0368785,1.8032,
25562.9628036,1.803232,
25688.8887288,1.803264,
25814.8146539,1.803296,
25940.7405791,1.803328,
26066.6665042,1.80336,
26192.5924293,1.803392,
26318.5183545,1.803424,
26444.4442796,1.803456,
26570.3702048,1.803488,
26696.2961299,1.80352,
26822.2220551,1.803552,
26948.1479802,1.803584,
27074.0739053,1.8035776,
27199.9998305,1.8035712,
27325.9257556,1.8035648,
27451.8516808,1.8035584,
27577.7776059,1.803552,
27703.703531,1.8035456,
27829.6294562,1.8035392,
27955.5553813,1.8035328,
28081.4813065,1.8035264,
28207.4072316,1.80352,
28333.3331567,1.8035136,
28459.2590819,1.8035072,
28585.185007,1.8035008,
28711.1109322,1.8034944,
28837.0368573,1.803488,
28962.9627825,1.8034816,
29088.8887076,1.8034752,
29214.8146327,1.8034688,
29340.7405579,1.8034624,
29466.666483,1.803456,
29592.5924082,1.8034496,
29718.5183333,1.8034432,
29844.4442584,1.8034368,
29970.3701836,1.8034304,
30096.2961087,1.803424,
30222.2220339,1.8034176,
30348.147959,1.8034112,
30474.0738841,1.8034048,
30599.9998093,1.8033984,
30725.9257344,1.803392,
30851.8516596,1.8033856,
30977.7775847,1.8033792,
31103.7035098,1.8033728,
31229.629435,1.8033664,
31355.5553601,1.80336,
31481.4812853,1.8033536,
31607.4072104,1.8033472,
31733.3331356,1.8033408,
31859.2590607,1.8033344,
31985.1849858,1.803328,
32111.110911,1.8033216,
32237.0368361,1.8033152,
32362.9627613,1.8033088,
32488.8886864,1.8033024,
32614.8146115,1.803296,
32740.7405367,1.8032896,
32866.6664618,1.8032832,
32992.592387,1.8032768,
33118.5183121,1.8032704,
33244.4442372,1.803264,
33370.3701624,1.8032576,
33496.2960875,1.8032512,
33622.2220127,1.8032448,
33748.1479378,1.8032384,
33874.073863,1.803232,
33999.9997881,1.8032256,
34125.9257132,1.8032192,
34251.8516384,1.8032128,
34377.7775635,1.8032064,
34503.7034887,1.8032,
34629.6294138,1.8031936,
34755.5553389,1.8031872,
34881.4812641,1.8031808,
35007.4071892,1.8031744,
35133.3331144,1.803168,
35259.2590395,1.8031616,
35385.1849646,1.8031552,
35511.1108898,1.8031488,
35637.0368149,1.8031424,
35762.9627401,1.803136,
35888.8886652,1.8031296,
36014.8145904,1.8031232,
36140.7405155,1.8031168,
36266.6664406,1.8031104,
36392.5923658,1.803104,
36518.5182909,1.8030976,
36644.4442161,1.8030912,
36770.3701412,1.8030848,
36896.2960663,1.8030784,
37022.2219915,1.803072,
37148.1479166,1.8030656,
37274.0738418,1.8030592,
37399.9997669,1.8030528,
37525.925692,1.8030464,
37651.8516172,1.80304,
37777.7775423,1.8030336,
37903.7034675,1.8030272,
38029.6293926,1.8030208,
38155.5553178,1.8030144,
38281.4812429,1.803008,
38407.407168,1.8030016,
38533.3330932,1.80300288,
38659.2590183,1.80300416,
38785.1849435,1.80300544,
38911.1108686,1.80300672,
39037.0367937,1.803008,
39162.9627189,1.80300928,
39288.888644,1.80301056,
