Coordinates:
0.0,0.294117647059,0.588235294118,0.882352941176,1.17647058824,1.47058823529,1.76470588235,2.05882352941,2.35294117647,2.64705882353,2.94117647059,3.23529411765,3.52941176471,3.82352941176,4.11764705882,4.41176470588,4.70588235294,5.0,5.29411764706,5.58823529412,5.88235294118,6.17647058824,6.47058823529,6.76470588235,7.05882352941,7.35294117647,7.64705882353,7.94117647059,8.23529411765,8.52941176471,8.82352941176,9.11764705882,9.41176470588,9.70588235294,10.0,
Volumes:
0.147058823529,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.294117647059,0.147058823529,

 Time(s), Pressure (Pa) on vertices
0.0,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,97079.5678617,
10.0,97079.567733,97079.5677073,97079.5676201,97079.5674364,97079.5670831,97079.5664191,97079.5651796,97079.5628699,97079.5585685,97079.5505591,97079.535646,97079.5078789,97079.4561786,97079.3599168,97079.180685,97078.8469699,97078.2256191,97077.0687139,97074.9146494,97070.9039542,97063.4363622,97049.5323057,97023.6440698,96975.4422548,96885.6943481,96718.5909571,96407.4578699,95828.1530611,94749.5340541,92741.2321303,89001.9353152,82039.6650981,69076.4773723,44940.0634192,0.0,
20.0,97079.5664154,97079.5661526,97079.5652694,97079.5634482,97079.5600358,97079.5538115,97079.5425568,97079.5222756,97079.4857973,97079.4202832,97079.3027891,97079.0923851,97078.7161993,97078.0447618,97076.8485779,97074.7218838,97070.9492814,97064.2734219,97052.4922441,97031.7645321,96995.4202003,96931.9374367,96821.5343492,96630.4895328,96301.8086651,95740.1575532,94788.1117535,93189.947251,90539.1392783,86208.3848243,79271.0258996,68451.0365083,52209.1876472,29237.2943287,0.0,
30.0,97079.5593104,97079.5578929,97079.5531799,97079.5436431,97079.5262041,97079.4952662,97079.4409687,97079.3461376,97079.1810276,97078.8943144,97078.3977399,97077.540051,97076.0629812,97073.5272779,97069.1890997,97061.7947916,97049.2425769,97028.0293924,96992.3548491,96932.6854999,96833.4836411,96669.6691351,96401.209641,95965.0406917,95263.3578182,94147.3333119,92395.7723246,89689.6684927,85586.954296,79508.3195077,70756.3603037,58607.0516182,42529.9953795,22590.9438033,0.0,
40.0,97079.5324306,97079.527068,97079.5094064,97079.4742791,97079.4114757,97079.3028956,97079.1175597,97078.8031837,97078.2721692,97077.3785205,97075.8800704,97073.3770707,97069.2130429,97062.3158915,97050.9453996,97032.2956758,97001.8758121,96952.5566209,96873.1238124,96746.1178495,96544.67144,96227.9890332,95735.0763742,94976.3767053,93823.2003487,92095.4015155,89548.8823995,85866.4549027,80658.5661225,73484.2516717,63906.3356338,51595.2614352,36486.4846757,18966.3486298,0.0,
50.0,97079.4522401,97079.4362421,97079.3840046,97079.2817318,97079.1026328,97078.8003054,97078.2974447,97077.4673584,97076.104278,97073.8762095,97070.2507199,97064.3791207,97054.9173418,97039.7515816,97015.5826673,96977.3040315,96917.0837431,96823.03144,96677.2986215,96453.4315999,96112.7828366,95599.8106267,94836.1953868,93713.9268538,92087.9411401,89769.5874284,86523.2344672,82069.6487241,76101.1382482,68314.21517,58464.4487973,46443.3709136,32366.6899771,16646.2119677,0.0,
60.0,97079.2511924,97079.2110834,97079.0811361,97078.8303443,97078.3994491,97077.6879837,97076.5327022,97074.6732888,97071.6990424,97066.9671081,97059.478444,97047.6916445,97029.246546,97000.5588064,96956.2331591,96888.2270726,96784.6793013,96628.3021903,96394.2281565,96047.2090767,95538.10731,94799.7101492,93742.0730944,92247.8815138,90168.7382025,87323.8333905,83503.0733181,78477.269689,72018.1077072,63929.8175425,54092.1538012,42509.9454304,29358.3012579,15006.3107254,0.0,
70.0,97078.8103383,97078.7223879,97078.4394482,97077.9004753,97076.9904848,97075.5183178,97073.1804548,97069.5050458,97063.7675092,97054.8652928,97041.1344551,97020.0843702,96988.0189897,96939.5038244,96866.6277363,96757.9991065,96597.4095502,96362.0994092,96020.574424,95529.9616913,94832.9673788,93854.622407,92499.1876582,90647.8419255,88158.0807902,84866.0678412,80593.4070418,75159.7901127,68402.4996475,60202.5824546,50515.4993771,39401.332063,27046.8287787,13770.0485429,0.0,
80.0,97077.9414787,97077.7681414,97077.2140599,97076.1710487,97074.4379967,97071.6865027,97067.4061153,97060.8217679,97050.7727947,97035.5389337,97012.5938601,96978.2610961,96927.240856,96851.9701554,96741.7735424,96581.7601367,96351.4274254,96022.9479067,95559.1470218,94911.2367167,94016.4552988,92795.8857614,91152.8805626,88972.6991632,86124.1362131,82464.0298764,77845.5109817,72130.5822339,65207.0002865,57008.4148789,47535.357393,36873.2239876,25202.3760809,12795.5920009,0.0,
90.0,97076.3717689,97076.0586119,97075.0633532,97073.209963,97070.1751003,97065.439343,97058.2109705,97047.3137375,97031.0268037,97006.8612243,96971.253246,96919.1503728,96843.4623355,96734.3466891,96578.2993085,96357.0257487,96046.0832234,95613.3084364,95017.0876013,94204.5851907,93110.1289947,91654.048826,89742.3760006,87267.9122013,84113.238823,80156.2178799,75278.3805171,69376.2587295,62375.1625401,54244.1637855,45010.2295235,34768.7698619,23687.633521,12002.1152707,0.0,
