Coordinates:
0.0,2.0,4.0,6.0,8.0,10.0,
Volumes:
1.0,2.0,2.0,2.0,2.0,1.0,

 Time(s), Pressure (Pa) on vertices
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
125.925925141,101360.871498,97413.2853715,105361.383383,85358.1143848,137688.00955,0.0,
251.851850282,96971.3269482,103037.499426,95784.7491075,101585.642532,116496.257986,0.0,
377.777775423,99233.4965438,101149.69852,95872.6169842,106480.836982,103940.703606,0.0,
503.703700564,100530.248399,99676.2197824,97212.9003623,107897.481796,95035.581828,0.0,
629.629625705,100852.088346,98977.2265737,98594.0016491,107730.453057,88255.3922062,0.0,
755.555550847,100682.526825,98762.7308687,99783.8367925,106745.796902,82860.6593375,0.0,
881.481475988,100331.673071,98810.1249029,100729.07286,105339.219988,78421.5534398,0.0,
1007.40740113,99961.0061219,98987.2002572,101428.573366,103728.870533,74671.5976346,0.0,
1133.33332627,99645.0200384,99219.1909232,101901.564103,102036.204174,71438.8818644,0.0,
1259.25925141,99411.301544,99464.591175,102174.927735,100328.407819,68608.2091062,0.0,
1385.18517655,99263.4006129,99700.7908077,102277.103886,98642.0392193,66099.3006737,0.0,
1511.11110169,99193.4282698,99915.8593576,102235.155131,96996.3736289,63854.0124726,0.0,
1637.03702683,99188.8347773,100103.870631,102073.481915,95400.9640682,61828.7007459,0.0,
1762.96295198,99235.9416607,100262.265589,101813.418771,93859.9203927,59989.5846558,0.0,
1888.88887712,99321.6780576,100390.35346,101473.262721,92374.3279039,58309.8494474,0.0,
2014.81480226,99434.3570866,100488.463351,101068.508378,90943.6220446,56767.7785135,0.0,
2140.7407274,99563.9287119,100557.468662,100612.164814,89566.3577772,55345.5143742,0.0,
2266.66665254,99701.9805276,100598.515148,100115.084714,88240.6495334,54028.1956096,0.0,
2392.59257768,99841.6077389,100612.872159,99586.2790841,86964.4119278,52803.3433014,0.0,
2518.51850282,99977.2399312,100601.847686,99033.1996723,85735.4972038,51660.4019539,0.0,
2644.44442796,100104.455518,100566.742142,98461.9877255,84551.7700311,50590.3884628,0.0,
2770.3703531,100219.806367,100508.824387,97877.6859595,83411.1462792,49585.6209291,0.0,
