Coordinates:
0.0,1.66666666667,3.33333333333,5.0,6.66666666667,8.33333333333,10.0,
Volumes:
0.833333333333,1.66666666667,1.66666666667,1.66666666667,1.66666666667,1.66666666667,0.833333333333,

 Time(s), Pressure (Pa) on vertices
100.0,137924.175115,120112.786052,100300.419929,79564.6644538,58828.9089784,39016.5428553,21205.1537928,
200.0,132593.532142,115518.516866,97740.5147938,79564.6644538,61388.8141138,43610.812041,26535.7967659,
300.0,130666.674192,113852.228151,96782.0869141,79564.6644538,62347.2419935,45277.1007569,28462.654716,
400.0,129965.931641,113245.498612,96431.9528976,79564.6644538,62697.3760099,45883.8302953,29163.3972665,
500.0,129710.791345,113024.547064,96304.3940055,79564.6644538,62824.934902,46104.7818431,29418.5375624,
600.0,129617.879329,112944.083206,96257.9385317,79564.6644538,62871.3903759,46185.2457016,29511.4495781,
700.0,129584.043696,112914.780703,96241.0207404,79564.6644538,62888.3081671,46214.5482049,29545.2852113,
800.0,129571.721787,112904.109617,96234.8597872,79564.6644538,62894.4691203,46225.2192902,29557.6071201,
900.0,129567.234521,112900.223531,96232.6161542,79564.6644538,62896.7127534,46229.1053767,29562.0943863,
1000.0,129565.600395,112898.808336,96231.7990908,79564.6644538,62897.5298167,46230.5205719,29563.7285129,
1100.0,129565.005295,112898.292964,96231.5015411,79564.6644538,62897.8273664,46231.0359432,29564.3236124,
1200.0,129564.788578,112898.105282,96231.3931825,79564.6644538,62897.935725,46231.2236258,29564.5403297,
1300.0,129564.709656,112898.036933,96231.3537216,79564.6644538,62897.975186,46231.2919741,29564.6192515,
1400.0,129564.680915,112898.012043,96231.3393511,79564.6644538,62897.9895565,46231.3168645,29564.6479925,
1500.0,129564.670448,112898.002979,96231.3341178,79564.6644538,62897.9947897,46231.3259289,29564.6584591,
1600.0,129564.666637,112897.999678,96231.332212,79564.6644538,62897.9966956,46231.3292298,29564.6622707,
1700.0,129564.665249,112897.998476,96231.3315179,79564.6644538,62897.9973896,46231.3304319,29564.6636588,
1800.0,129564.664743,112897.998038,96231.3312652,79564.6644538,62897.9976423,46231.3308697,29564.6641642,
1900.0,129564.664559,112897.997878,96231.3311732,79564.6644538,62897.9977344,46231.3310291,29564.6643483,
