Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
298.0,2.825,
299.0,2.8234375,
300.0,2.821875,
301.0,2.8203125,
302.0,2.81875,
303.0,2.8171875,
304.0,2.815625,
305.0,2.81640625,
306.0,2.816015625,
307.0,2.815625,
308.0,2.815234375,
309.0,2.81484375,
310.0,2.814453125,
311.0,2.8140625,
312.0,2.813671875,
313.0,2.81328125,
314.0,2.812890625,
315.0,2.8125,
316.0,2.812109375,
317.0,2.81171875,
318.0,2.811328125,
319.0,2.8109375,
320.0,2.810546875,
321.0,2.81015625,
322.0,2.809765625,
323.0,2.809375,
324.0,2.808984375,
325.0,2.80859375,
326.0,2.808203125,
327.0,2.8078125,
328.0,2.807421875,
329.0,2.80703125,
330.0,2.806640625,
331.0,2.80625,
332.0,2.805859375,
333.0,2.80546875,
334.0,2.805078125,
335.0,2.8046875,
336.0,2.804296875,
337.0,2.80390625,
338.0,2.803515625,
339.0,2.803125,
340.0,2.802734375,
341.0,2.80234375,
342.0,2.801953125,
343.0,2.8015625,
344.0,2.801171875,
345.0,2.80078125,
346.0,2.800390625,
347.0,2.8,
348.0,2.799609375,
349.0,2.79921875,
350.0,2.798828125,
351.0,2.7984375,
352.0,2.798046875,
353.0,2.79765625,
354.0,2.797265625,
355.0,2.796875,
356.0,2.796484375,
357.0,2.79609375,
358.0,2.795703125,
359.0,2.7953125,
360.0,2.794921875,
361.0,2.79453125,
362.0,2.794140625,
363.0,2.79375,
364.0,2.793359375,
365.0,2.79296875,
366.0,2.792578125,
367.0,2.7921875,
368.0,2.791796875,
369.0,2.79140625,
370.0,2.791015625,
371.0,2.790625,
372.0,2.790234375,
373.0,2.78984375,
374.0,2.789453125,
375.0,2.7890625,
376.0,2.788671875,
377.0,2.78828125,
378.0,2.787890625,
379.0,2.7875,
380.0,2.787109375,
381.0,2.78671875,
382.0,2.786328125,
383.0,2.7859375,
384.0,2.785546875,
385.0,2.78515625,
386.0,2.784765625,
387.0,2.784375,
388.0,2.783984375,
389.0,2.78359375,
390.0,2.783203125,
391.0,2.7828125,
392.0,2.782421875,
393.0,2.78203125,
394.0,2.781640625,
395.0,2.78125,
396.0,2.780859375,
397.0,2.78046875,
398.0,2.780078125,
399.0,2.7796875,
400.0,2.779296875,
401.0,2.77890625,
402.0,2.778515625,
403.0,2.778125,
404.0,2.777734375,
405.0,2.77734375,
406.0,2.776953125,
407.0,2.7765625,
408.0,2.776171875,
409.0,2.77578125,
410.0,2.775390625,
411.0,2.775,
412.0,2.774609375,
413.0,2.77421875,
414.0,2.773828125,
415.0,2.7734375,
416.0,2.773046875,
417.0,2.77265625,
418.0,2.772265625,
419.0,2.771875,
420.0,2.771484375,
421.0,2.77109375,
422.0,2.770703125,
423.0,2.7703125,
424.0,2.769921875,
425.0,2.76953125,
426.0,2.769140625,
427.0,2.76875,
428.0,2.768359375,
429.0,2.76796875,
430.0,2.767578125,
431.0,2.7671875,
432.0,2.766796875,
433.0,2.76640625,
434.0,2.766015625,
435.0,2.765625,
436.0,2.765234375,
437.0,2.76484375,
438.0,2.764453125,
439.0,2.7640625,
440.0,2.763671875,
441.0,2.76328125,
442.0,2.762890625,
443.0,2.7625,
444.0,2.762109375,
445.0,2.76171875,
446.0,2.761328125,
447.0,2.7609375,
448.0,2.760546875,
449.0,2.76015625,
450.0,2.759765625,
451.0,2.759375,
452.0,2.758984375,
453.0,2.75859375,
454.0,2.758203125,
455.0,2.7578125,
456.0,2.757421875,
457.0,2.75703125,
458.0,2.756640625,
459.0,2.75625,
460.0,2.755859375,
461.0,2.75546875,
462.0,2.755078125,
463.0,2.7546875,
464.0,2.754296875,
465.0,2.75390625,
466.0,2.753515625,
467.0,2.753125,
468.0,2.752734375,
469.0,2.75234375,
470.0,2.751953125,
471.0,2.7521484375,
472.0,2.75205078125,
473.0,2.751953125,
474.0,2.75185546875,
475.0,2.7517578125,
476.0,2.75166015625,
477.0,2.7515625,
478.0,2.75146484375,
479.0,2.7513671875,
480.0,2.75126953125,
481.0,2.751171875,
482.0,2.75107421875,
483.0,2.7509765625,
484.0,2.75087890625,
485.0,2.75078125,
486.0,2.75068359375,
487.0,2.7505859375,
488.0,2.75048828125,
489.0,2.750390625,
490.0,2.75029296875,
491.0,2.7501953125,
492.0,2.75009765625,
493.0,2.75,
494.0,2.74990234375,
495.0,2.7498046875,
496.0,2.74970703125,
497.0,2.74975585937,
498.0,2.7498046875,
499.0,2.74985351562,
500.0,2.74990234375,
501.0,2.74995117187,
502.0,2.75,
503.0,2.75004882812,
504.0,2.75002441406,
505.0,2.75,
506.0,2.74997558594,
507.0,2.74995117187,
508.0,2.74996337891,
509.0,2.74997558594,
510.0,2.74996948242,
511.0,2.74996337891,
