Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
36105.398791,2.00595703125,
36246.9885902,2.00593261719,
36388.5783893,2.00590820312,
36530.1681885,2.00588378906,
36671.7579877,2.005859375,
36813.3477869,2.00583496094,
36954.9375861,2.00581054687,
37096.5273852,2.00578613281,
37238.1171844,2.00576171875,
37379.7069836,2.00573730469,
37521.2967828,2.00571289062,
37662.886582,2.00568847656,
37804.4763811,2.0056640625,
37946.0661803,2.00563964844,
38087.6559795,2.00561523437,
38229.2457787,2.00559082031,
38370.8355779,2.00556640625,
38512.425377,2.00554199219,
38654.0151762,2.00551757812,
38795.6049754,2.00549316406,
38937.1947746,2.00546875,
39078.7845738,2.00544433594,
39220.3743729,2.00541992187,
39361.9641721,2.00543212891,
39503.5539713,2.00544433594,
39645.1437705,2.00545654297,
39786.7335697,2.00546875,
39928.3233688,2.00548095703,
40069.913168,2.00549316406,
40211.5029672,2.00550537109,
40353.0927664,2.00551757812,
40494.6825656,2.00552978516,
40636.2723647,2.00554199219,
40777.8621639,2.00555419922,
40919.4519631,2.00556640625,
41061.0417623,2.00557861328,
41202.6315615,2.00559082031,
41344.2213606,2.00560302734,
41485.8111598,2.00561523437,
41627.400959,2.00562744141,
41768.9907582,2.00563964844,
41910.5805574,2.00565185547,
42052.1703565,2.0056640625,
42193.7601557,2.00567626953,
42335.3499549,2.00568847656,
42476.9397541,2.00570068359,
42618.5295533,2.00571289062,
42760.1193524,2.00572509766,
42901.7091516,2.00573730469,
43043.2989508,2.00574951172,
43184.88875,2.00576171875,
43326.4785492,2.00577392578,
43468.0683483,2.00578613281,
43609.6581475,2.00579833984,
43751.2479467,2.00581054687,
43892.8377459,2.00582275391,
44034.4275451,2.00583496094,
44176.0173442,2.00582885742,
44317.6071434,2.00582275391,
44459.1969426,2.00581665039,
44600.7867418,2.00581054687,
44742.376541,2.00580444336,
44883.9663401,2.00579833984,
45025.5561393,2.00579223633,
45167.1459385,2.00578613281,
45308.7357377,2.0057800293,
45450.3255369,2.00577392578,
45591.915336,2.00576782227,
45733.5051352,2.00576171875,
45875.0949344,2.00575561523,
46016.6847336,2.00574951172,
46158.2745328,2.0057434082,
46299.864332,2.00573730469,
46441.4541311,2.00573120117,
46583.0439303,2.00572509766,
46724.6337295,2.00571899414,
46866.2235287,2.00571289062,
47007.8133279,2.00570678711,
47149.403127,2.00570068359,
47290.9929262,2.00569458008,
47432.5827254,2.00568847656,
47574.1725246,2.00569152832,
47715.7623238,2.00569458008,
47857.3521229,2.00569763184,
47998.9419221,2.00569610596,
48140.5317213,2.00569458008,
48282.1215205,2.0056930542,
48423.7113197,2.00569381714,
48565.3011188,2.00569458008,
48706.890918,2.00569534302,
48848.4807172,2.00569496155,
48990.0705164,2.00569458008,
49131.6603156,2.00569477081,
49273.2501147,2.00569496155,
49414.8399139,2.00569486618,
49556.4297131,2.00569477081,
49698.0195123,2.00569467545,
49839.6093115,2.00569472313,
49981.1991106,2.00569477081,
50122.7889098,2.0056948185,
50264.378709,2.00569486618,
50405.9685082,2.00569484234,
50547.5583074,2.0056948185,
50689.1481065,2.00569479465,
50830.7379057,2.00569477081,
50972.3277049,2.00569478273,
51113.9175041,2.00569479465,
51255.5073033,2.00569480658,
51397.0971024,2.0056948185,
51538.6869016,2.00569483042,
51680.2767008,2.00569484234,
51821.8665,2.00569485426,
51963.4562992,2.0056948483,
52105.0460983,2.00569484234,
52246.6358975,2.00569483638,
52388.2256967,2.00569483042,
52529.8154959,2.00569482446,
52671.4052951,2.0056948185,
52812.9950942,2.00569481254,
52954.5848934,2.00569480658,
53096.1746926,2.00569480062,
53237.7644918,2.00569479465,
53379.354291,2.00569479764,
53520.9440901,2.00569480062,
53662.5338893,2.0056948036,
53804.1236885,2.00569480658,
53945.7134877,2.00569480956,
54087.3032869,2.00569481254,
54228.893086,2.00569481552,
54370.4828852,2.0056948185,
54512.0726844,2.00569482148,
54653.6624836,2.00569482446,
54795.2522828,2.00569482744,
54936.8420819,2.00569483042,
55078.4318811,2.0056948334,
55220.0216803,2.00569483638,
55361.6114795,2.00569483489,
55503.2012787,2.0056948334,
55644.7910778,2.00569483191,
55786.380877,2.00569483042,
55927.9706762,2.00569482893,
56069.5604754,2.00569482744,
56211.1502746,2.00569482595,
56352.7400738,2.00569482446,
56494.3298729,2.00569482297,
56635.9196721,2.00569482148,
56777.5094713,2.00569481999,
56919.0992705,2.0056948185,
57060.6890697,2.00569481701,
57202.2788688,2.00569481552,
57343.868668,2.00569481403,
57485.4584672,2.00569481254,
57627.0482664,2.00569481105,
57768.6380656,2.00569481179,
57910.2278647,2.00569481254,
58051.8176639,2.00569481328,
58193.4074631,2.00569481403,
58334.9972623,2.00569481477,
58476.5870615,2.00569481552,
58618.1768606,2.00569481626,
58759.7666598,2.00569481701,
58901.356459,2.00569481775,
59042.9462582,2.0056948185,
59184.5360574,2.00569481924,
59326.1258565,2.00569481999,
59467.7156557,2.00569482073,
59609.3054549,2.00569482148,
59750.8952541,2.00569482222,
59892.4850533,2.00569482297,
60034.0748524,2.00569482371,
60175.6646516,2.00569482446,
60317.2544508,2.00569482408,
60458.84425,2.00569482371,
60600.4340492,2.00569482334,
60742.0238483,2.00569482297,
60883.6136475,2.00569482259,
61025.2034467,2.00569482222,
61166.7932459,2.00569482185,
61308.3830451,2.00569482148,
61449.9728442,2.0056948211,
61591.5626434,2.00569482073,
61733.1524426,2.00569482036,
61874.7422418,2.00569481999,
62016.332041,2.00569481961,
62157.9218401,2.00569481924,
62299.5116393,2.00569481887,
62441.1014385,2.0056948185,
62582.6912377,2.00569481812,
62724.2810369,2.00569481831,
62865.870836,2.0056948185,
63007.4606352,2.00569481868,
63149.0504344,2.00569481887,
63290.6402336,2.00569481906,
63432.2300328,2.00569481924,
63573.8198319,2.00569481943,
63715.4096311,2.00569481961,
63856.9994303,2.0056948198,
63998.5892295,2.00569481999,
64140.1790287,2.00569482017,
64281.7688278,2.00569482036,
64423.358627,2.00569482055,
64564.9484262,2.00569482073,
64706.5382254,2.00569482092,
64848.1280246,2.0056948211,
64989.7178237,2.00569482129,
65131.3076229,2.00569482148,
65272.8974221,2.00569482138,
65414.4872213,2.00569482129,
65556.0770205,2.0056948212,
65697.6668196,2.0056948211,
65839.2566188,2.00569482101,
65980.846418,2.00569482092,
66122.4362172,2.00569482083,
66264.0260164,2.00569482073,
66405.6158156,2.00569482064,
66547.2056147,2.00569482055,
66688.7954139,2.00569482045,
66830.3852131,2.00569482036,
66971.9750123,2.00569482027,
67113.5648115,2.00569482017,
67255.1546106,2.00569482008,
67396.7444098,2.00569481999,
67538.334209,2.00569481989,
67679.9240082,2.00569481994,
67821.5138074,2.00569481999,
67963.1036065,2.00569482003,
68104.6934057,2.00569482008,
68246.2832049,2.00569482013,
68387.8730041,2.00569482017,
68529.4628033,2.00569482022,
68671.0526024,2.00569482027,
68812.6424016,2.00569482031,
68954.2322008,2.00569482036,
69095.822,2.00569482041,
69237.4117992,2.00569482045,
69379.0015983,2.0056948205,
69520.5913975,2.00569482055,
69662.1811967,2.00569482059,
69803.7709959,2.00569482064,
69945.3607951,2.00569482069,
70086.9505942,2.00569482073,
70228.5403934,2.00569482078,
70370.1301926,2.00569482076,
70511.7199918,2.00569482073,
70653.309791,2.00569482071,
