Coordinates:
0.0,3.33333333333,6.66666666667,10.0,
Volumes:
1.66666666667,3.33333333333,3.33333333333,1.66666666667,

 Time(s), Pressure (Pa) on vertices
0.5,49996.9202274,49950.8252379,48432.731856,0.0,
1.0,49988.2425246,49858.3632535,46960.7249461,0.0,
1.5,49971.9340575,49727.8450534,45576.821428,0.0,
2.0,49946.3803619,49563.9179247,44274.4572769,0.0,
2.5,49910.326639,49370.7101777,43047.6088434,0.0,
3.0,49862.8263311,49151.8887104,41890.7445612,0.0,
3.5,49803.1961254,48910.7101921,40798.7812824,0.0,
4.0,49730.9766243,48650.0665722,39767.0447725,0.0,
4.5,49645.8980146,48372.5255442,38791.2339463,0.0,
5.0,49547.8501388,48080.3665235,37867.3884709,0.0,
5.5,49436.8564454,47775.6126367,36991.8593986,0.0,
6.0,49313.0513509,47460.0591647,36161.2825309,0.0,
6.5,49176.6606046,47135.2988318,35372.5542415,0.0,
7.0,49027.9842905,46802.7442921,34622.8095182,0.0,
7.5,48867.3821465,46463.6481216,33909.4020056,0.0,
8.0,48695.2609157,46119.1205952,33229.8858555,0.0,
8.5,48512.0634806,45770.1454914,32581.9992072,0.0,
9.0,48318.2595574,45417.5941459,31963.6491442,0.0,
9.5,48114.3377556,45062.2379463,31372.897983,0.0,
10.0,47900.7988311,44704.7594416,30807.9507693,0.0,
10.5,47678.1499799,44345.7622197,30267.1438664,0.0,
11.0,47446.9000399,43985.7796904,29748.9345331,0.0,
11.5,47207.5554817,43625.2828935,29251.8913993,0.0,
12.0,46960.6170854,43264.6874417,28774.6857549,0.0,
12.5,46706.5772127,42904.3596935,28316.0835782,0.0,
13.0,46445.9175925,42544.6222416,27874.9382351,0.0,
13.5,46179.1075518,42185.7587923,27450.1837883,0.0,
14.0,45906.6026289,41828.018504,27040.8288616,0.0,
14.5,45628.8435142,41471.6198447,26645.9510088,0.0,
15.0,45346.2552734,41116.7540212,26264.6915437,0.0,
15.5,45059.2468093,40763.5880283,25896.2507877,0.0,
16.0,44768.2105278,40412.2673595,25539.8837019,0.0,
16.5,44473.5221751,40062.9184169,25194.8958665,0.0,
17.0,44175.5408196,39715.6506542,24860.6397802,0.0,
17.5,43874.6089546,39370.5584813,24536.5114506,0.0,
18.0,43571.0527,39027.7229579,24221.9472511,0.0,
18.5,43265.1820857,38687.2132988,23916.4210218,0.0,
19.0,42957.2914019,38349.0882128,23619.4413946,0.0,
19.5,42647.659601,38013.3970919,23330.5493217,0.0,
20.0,42336.5507408,37680.1810698,23049.3157932,0.0,
20.5,42024.2144593,37349.473961,22775.3397267,0.0,
21.0,41710.8864717,37021.3030978,22508.2460151,0.0,
21.5,41396.7890829,36695.6900722,22247.68372,0.0,
22.0,41082.1317091,36372.6513968,21993.3243993,0.0,
22.5,40767.1114037,36052.1990917,21744.860557,0.0,
23.0,40451.9133832,35734.3412059,21502.0042076,0.0,
23.5,40136.7115483,35419.0822809,21264.4855439,0.0,
24.0,39821.6689991,35106.4237631,21032.0517021,0.0,
24.5,39506.9385406,34796.3643696,20804.4656146,0.0,
25.0,39192.6631769,34488.9004134,20581.5049457,0.0,
25.5,38878.9765923,34184.0260931,20362.9611029,0.0,
26.0,38566.0036191,33881.7337489,20148.6383175,0.0,
26.5,38253.8606895,33582.0140913,19938.3527911,0.0,
27.0,37942.6562726,33284.8564039,19731.9319005,0.0,
27.5,37632.4912948,32990.2487227,19529.2134594,0.0,
28.0,37323.4595443,32698.1779968,19330.0450301,0.0,
28.5,37015.6480587,32408.6302296,19134.2832839,0.0,
29.0,36709.1374968,32121.5906055,18941.7934047,0.0,
29.5,36404.0024933,31837.0436011,18752.4485334,0.0,
30.0,36100.3119986,31554.973085,18566.1292512,0.0,
30.5,35798.1296019,31275.3624058,18382.7230968,0.0,
31.0,35497.513839,30998.1944698,18202.124117,0.0,
31.5,35198.5184862,30723.4518108,18024.2324472,0.0,
32.0,34901.192838,30451.1166514,17848.953921,0.0,
32.5,34605.5819726,30181.1709573,17676.1997044,0.0,
33.0,34311.7270022,29913.5964857,17505.8859559,0.0,
33.5,34019.6653112,29648.3748278,17337.9335085,0.0,
34.0,33729.4307818,29385.4874469,17172.2675727,0.0,
34.5,33441.0540075,29124.9157115,17008.8174599,0.0,
35.0,33154.5624945,28866.6409251,16847.5163228,0.0,
35.5,32869.9808531,28610.6443524,16688.3009144,0.0,
36.0,32587.3309778,28356.907242,16531.1113612,0.0,
36.5,32306.6322179,28105.4108469,16375.8909528,0.0,
37.0,32027.901538,27856.1364425,16222.5859439,0.0,
37.5,31751.1536701,27609.0653425,16071.1453704,0.0,
38.0,31476.4012564,27364.1789123,15921.5208763,0.0,
38.5,31203.6549841,27121.4585815,15773.6665524,0.0,
39.0,30932.923713,26880.8858543,15627.538786,0.0,
39.5,30664.2145947,26642.4423194,15483.0961188,0.0,
40.0,30397.5331857,26406.1096573,15340.2991158,0.0,
40.5,30132.8835534,26171.8696479,15199.1102408,0.0,
41.0,29870.2683758,25939.7041765,15059.4937414,0.0,
41.5,29609.6890358,25709.5952391,14921.4155407,0.0,
42.0,29351.1457091,25481.524947,14784.8431356,0.0,
42.5,29094.6374478,25255.4755307,14649.7455023,0.0,
43.0,28840.162258,25031.429343,14516.0930073,0.0,
43.5,28587.7171731,24809.3688623,14383.8573245,0.0,
44.0,28337.2983234,24589.2766944,14253.0113569,0.0,
44.5,28088.9009998,24371.1355748,14123.5291642,0.0,
45.0,27842.5197153,24154.9283702,13995.385894,0.0,
45.5,27598.1482619,23940.6380799,13868.5577181,0.0,
