Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), Pressure (Pa) on vertices
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,34407.3739133,34407.3514413,34407.2581471,34406.986597,34406.2240849,34404.0925329,34398.1373321,34381.5007151,34335.0246285,34205.1890968,33842.4807896,32829.2195367,29998.5747913,22090.8909147,0.0,
2.0,34407.089993,34406.9287404,34406.2877308,34404.5468747,34400.0451451,34388.5635732,34359.5781704,34287.2475468,34109.3343895,33679.7824586,32668.2605149,30368.9944939,25416.6543489,15690.868442,0.0,
3.0,34405.9899194,34405.3724877,34403.01045,34396.9833576,34382.5198769,34348.5663521,34270.2874218,34093.4783446,33703.9908543,32872.6521215,31169.5017916,27867.9993742,21949.2534593,12510.4248008,0.0,
4.0,34402.9604938,34401.2773653,34395.0512569,34380.0226855,34346.2985262,34272.793866,34116.423267,33792.628761,33143.4548406,31892.5578987,29599.3815745,25656.4436214,19426.019648,10638.6250614,0.0,
5.0,34396.2876593,34392.6122905,34379.4085589,34349.0632337,34284.9181153,34154.0302137,33894.5871299,33396.2706555,32473.7546722,30839.6428331,28096.2798681,23785.4235063,17546.563924,9396.68099825,0.0,
6.0,34383.7493687,34376.8941286,34352.8823005,34300.0218417,34194.035307,33990.0029774,33609.8175186,32925.3644883,31740.6540944,29782.2220179,26715.9841149,22215.5220852,16098.2042165,8502.31112645,0.0,
7.0,34362.8257964,34351.4574523,34312.4966635,34229.8869593,34071.7751039,33782.5851998,33271.9901498,32402.505939,30980.4719662,28759.6841058,25471.1169021,20891.07846,14946.0225146,7820.62154011,0.0,
8.0,34330.9574731,34313.7344232,34255.8042189,34136.9129256,33918.4353637,33536.3619155,32892.6790331,31847.7466888,30218.7090474,27791.5769258,24355.381072,19762.2762247,14004.5008166,7279.42673262,0.0,
9.0,34285.7854826,34261.4823825,34181.0401719,34020.5411902,33735.8977295,33257.2563033,32483.1218936,31277.1038877,29471.8154085,26885.4899105,23355.7043998,18789.3297074,13217.9160466,6836.5193336,0.0,
10.0,34225.3311777,34192.9301595,34087.148045,33881.1735994,33527.0062443,32951.5044425,32053.1813387,30702.5364924,28749.6040724,26042.3682647,22457.6825409,17941.5509974,12548.7063972,6465.46029383,0.0,
11.0,34148.1013102,34106.8433952,33973.7202071,33719.9026655,33295.0513077,32625.0143535,31610.9817612,30132.5348793,28057.3569798,25259.733106,21647.774356,17195.4228139,11970.7033857,6148.76706158,0.0,
12.0,34053.1233118,34002.5237179,33840.89355,33538.2610008,33043.3990802,32283.0315952,31162.9252356,29572.857869,27397.3985587,24533.520046,20914.0282716,16532.8296923,11465.1229451,5874.3678189,0.0,
13.0,33939.9271451,33879.7632494,33689.2315523,33338.0190947,32775.2575355,31930.0148088,30713.8863494,29027.2151025,26770.1900194,23859.0886749,20246.1871091,15939.6779392,11018.1216283,5633.62751214,0.0,
14.0,33808.4918135,33738.7735652,33519.6109319,33121.0363494,32493.5482968,31569.6365707,30267.4660888,28497.8259145,26175.059218,23231.7537821,19635.5519992,15404.8731426,10619.2584927,5420.18570824,0.0,
15.0,33659.1732544,33580.1046239,33333.122547,32889.1597302,32200.8523176,31204.8504524,29826.2442628,27985.8503149,25610.6762069,22647.0492357,19074.7731429,14919.5752554,10260.4974017,5229.24009555,0.0,
16.0,33492.626488,33404.5644149,33130.9900961,32644.1602584,31899.4026266,30837.9865663,29392.0039741,27491.7104679,25075.3584408,22100.8456452,18557.6369571,14476.6567891,9935.54173364,5057.08731186,0.0,
17.0,33309.7303014,33213.1454076,32914.5061331,32387.6968127,31591.1037252,30470.8528489,28965.9190601,27015.3251099,24567.2634813,21589.3891389,18078.8746237,14070.3059898,9639.37910016,4900.81861864,0.0,
18.0,33111.5195272,33006.961041,32684.9835842,32121.298751,31277.564262,30104.8305056,28548.7051962,26556.278383,24084.5088538,21109.2995037,17633.999305,13695.7336999,9367.96271853,4758.11241955,0.0,
19.0,32899.1273825,32787.193381,32443.7203903,31846.3609243,30960.1346537,29740.958492,28140.7391014,26113.9405454,23625.2451858,20657.5488725,17219.17158,13348.9547522,9117.98398421,4627.08933907,0.0,
20.0,32673.7382463,32555.051421,32191.9745197,31564.1461136,30639.9443978,29380.0050581,27742.1507773,25687.5533229,23187.6990143,20231.4319167,16831.089313,13026.622953,8886.7069957,4506.20870497,0.0,
21.0,32436.5503979,32311.7390213,31930.9471219,31275.7917364,30317.9365357,29022.5267809,27352.8940734,25276.2898137,22770.1962925,19828.5337415,16466.8980891,12725.905252,8671.84621552,4394.19320861,0.0,
22.0,32188.747728,32058.4312243,31661.7720037,30982.3188358,29994.8982476,28668.9164903,26972.8002906,24879.2962602,22371.1738106,19446.6987441,16124.1186089,12444.3849264,8471.47477046,4289.97318808,0.0,
23.0,31931.478954,31796.2573691,31385.5096992,30684.6418409,29671.4870741,28319.4414388,26601.6183333,24495.7205609,21989.1827734,19084.0015844,15800.5875219,12179.9861758,8283.95467058,4192.64473482,0.0,
