Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), Pressure (Pa) on vertices
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,34407.3739126,34407.3514406,34407.2581464,34406.9865963,34406.2240842,34404.0925322,34398.1373315,34381.5007144,34335.0246279,34205.1890962,33842.4807891,32829.2195363,29998.574791,22090.8909146,0.0,
2.0,34407.0899846,34406.9287305,34406.2877159,34404.5468502,34400.0451041,34388.5635059,34359.5780638,34287.2473855,34109.3341593,33679.7821528,32668.2601446,30368.9940991,25416.654002,15690.8682339,0.0,
3.0,34405.9898962,34405.3724607,34403.0104108,34396.9832954,34382.5197772,34348.5661959,34270.2871859,34093.4780052,33703.9903942,32872.6515416,31169.5011255,27867.9986995,21949.2528937,12510.4244737,0.0,
4.0,34402.9604467,34401.2773114,34395.0511818,34380.0225716,34346.2983514,34272.7936036,34116.4228879,33792.6282394,33143.4541643,31892.5570833,29599.3806773,25656.442748,19426.0189403,10638.6246617,0.0,
5.0,34396.2875776,34392.6121987,34379.4084357,34349.0630546,34284.9178517,34154.0298336,33894.5866019,33396.2699567,32473.7538003,30839.64182,28096.2787918,23785.4224906,17546.5631216,9396.68055278,0.0,
6.0,34383.7492409,34376.8939872,34352.8821171,34300.0215854,34194.0349439,33990.0024726,33609.8168419,32925.3636228,31740.6530495,29782.2208413,26715.9829,22215.520967,16098.2033501,8502.31065158,0.0,
7.0,34362.8255916,34351.457229,34312.4963839,34229.8865841,34071.7745928,33782.5845153,33271.989264,32402.5048439,30980.4706858,28759.6827062,25471.1154951,20891.0771938,14946.0215506,7820.62101749,0.0,
8.0,34330.9572082,34313.7341377,34255.8038715,34136.9124748,33918.4347695,33536.361144,32892.6780632,31847.7455218,30218.7077169,27791.5755045,24355.3796717,19762.2749856,14004.4998852,7279.42623166,0.0,
9.0,34285.7851369,34261.4820135,34181.0397334,34020.5406373,33735.8970212,33257.2554078,32483.1207951,31277.1025958,29471.813966,26885.4883981,23355.7029339,18789.3284274,13217.915094,6836.51882445,0.0,
10.0,34225.3307685,34192.9297264,34087.1475411,33881.1729804,33527.0054719,32951.5034896,32053.1801959,30702.5351757,28749.6026294,26042.3667767,22457.6811188,17941.54977,12548.7054915,6465.45981229,0.0,
11.0,34148.100816,34106.8428758,33973.7196133,33719.9019522,33295.0504375,32625.0133022,31610.9805243,30132.5334787,28057.3554684,25259.7315685,21647.7729035,17195.4215719,11970.7024754,6148.76657965,0.0,
12.0,34053.122752,34002.5231333,33840.8928926,33538.2602273,33043.3981566,32283.0305017,31162.9239726,29572.8564623,27397.3970627,24533.5185436,20914.0268675,16532.8285019,11465.1220782,5874.36736166,0.0,
13.0,33939.9265318,33879.7626125,33689.2308464,33338.01828,32775.2565819,31930.013701,30713.8850917,29027.2137231,26770.1885723,23859.0872385,20246.1857798,15939.6768211,11018.1208186,5633.62708656,0.0,
14.0,33808.4911348,33738.7728637,33519.610164,33121.0354775,32493.5472937,31569.6354245,30267.4648068,28497.824527,26175.0577793,23231.7523681,19635.5507015,15404.8720581,10619.2577111,5420.18529859,0.0,
15.0,33659.1725248,33580.103873,33333.1217343,32889.1588215,32200.8512893,31204.8492956,29826.2429875,27985.8489523,25610.6748097,22647.0478756,19074.7719046,14919.574227,10260.4966638,5229.23970985,0.0,
16.0,33492.6257166,33404.563624,33130.989249,32644.1593244,31899.4015856,30837.9854125,29392.0027193,27491.7091433,25075.3570969,22100.8443487,18557.6357853,14476.6558215,9935.54104228,5057.08695141,0.0,
17.0,33309.729481,33213.1445691,32914.5052426,32387.6958425,31591.102658,30470.8516811,28965.917805,27015.3237989,24567.2621632,21589.3878771,18078.8734904,14070.3050586,9639.37843716,4900.81827371,0.0,
18.0,33111.5186692,33006.9601667,32684.982663,32121.2977586,31277.5631838,30104.8293404,28548.7039582,26556.277103,24084.5075783,21109.2982918,17633.9982233,13695.7328154,9367.9620909,4758.11209369,0.0,
19.0,32899.1264943,32787.1924783,32443.719446,31846.3599175,30960.1335724,29740.9573369,28140.7378874,26113.9393024,23625.2439576,20657.547714,17219.170552,13348.9539154,9117.98339241,4627.08903242,0.0,
20.0,32673.7373225,32555.0504842,32191.9735457,31564.1450839,30639.9433028,29380.0038998,27742.1495712,25687.5520983,23187.697813,20231.4307905,16831.0883187,13026.6221467,8886.70642708,4506.20841082,0.0,
21.0,32436.5494482,32311.7380602,31930.9461282,31275.7906944,30317.935438,29022.525631,27352.892887,25276.288619,22770.1951291,19828.5326575,16466.8971367,12725.9044828,8671.84567453,4394.19292922,0.0,
22.0,32188.7467581,32058.4302445,31661.7709961,30982.3177871,29994.8971526,28668.9153535,26972.7991278,24879.2950986,22371.1726873,19446.6977036,16124.1176993,12444.3841945,8471.47425706,4289.97292337,0.0,
23.0,31931.4779605,31796.256367,31385.5086728,30684.6407793,29671.4859736,28319.4403048,26601.6171819,24495.7194182,21989.1816747,19084.0005718,15800.5866401,12179.9854685,8283.95417556,4192.64447992,0.0,
