Coordinates:
0.0,2.0,4.0,6.0,8.0,10.0,
Volumes:
1.0,2.0,2.0,2.0,2.0,1.0,

 Time(s), delta (-) on vertices
33118.5183121,53.2,
33244.4442372,53.4,
33370.3701624,53.6,
33496.2960875,53.8,
33622.2220127,54.0,
33748.1479378,54.2,
33874.073863,54.4,
33999.9997881,54.6,
34125.9257132,54.8,
34251.8516384,55.0,
34377.7775635,55.2,
34503.7034887,55.4,
34629.6294138,55.6,
34755.5553389,55.8,
34881.4812641,56.0,
35007.4071892,56.2,
35133.3331144,56.4,
35259.2590395,56.6,
35385.1849646,56.8,
35511.1108898,57.0,
35637.0368149,57.2,
35762.9627401,57.4,
35888.8886652,57.6,
36014.8145904,57.8,
36140.7405155,58.0,
36266.6664406,58.2,
36392.5923658,58.4,
36518.5182909,58.6,
36644.4442161,58.8,
36770.3701412,59.0,
36896.2960663,59.2,
37022.2219915,59.4,
37148.1479166,59.6,
37274.0738418,59.8,
37399.9997669,60.0,
37525.925692,60.2,
37651.8516172,60.4,
37777.7775423,60.6,
37903.7034675,60.8,
38029.6293926,61.0,
38155.5553178,61.2,
38281.4812429,61.4,
38407.407168,61.6,
38533.3330932,61.8,
38659.2590183,62.0,
38785.1849435,62.2,
38911.1108686,62.4,
39037.0367937,62.6,
39162.9627189,62.8,
39288.888644,63.0,
39414.8145692,63.2,
39540.7404943,63.4,
39666.6664194,63.6,
39792.5923446,63.8,
39918.5182697,64.0,
40044.4441949,64.2,
40170.37012,64.4,
40296.2960451,64.6,
40422.2219703,64.8,
40548.1478954,65.0,
40674.0738206,65.2,
40799.9997457,65.4,
40925.9256709,65.6,
41051.851596,65.8,
41177.7775211,66.0,
41303.7034463,66.2,
41429.6293714,66.4,
41555.5552966,66.6,
41681.4812217,66.8,
41807.4071468,67.0,
41933.333072,67.2,
42059.2589971,67.4,
42185.1849223,67.6,
42311.1108474,67.8,
42437.0367725,68.0,
42562.9626977,68.2,
42688.8886228,68.4,
42814.814548,68.6,
42940.7404731,68.8,
43066.6663983,69.0,
43192.5923234,69.2,
43318.5182485,69.4,
43444.4441737,69.6,
